Vreme,Temperatura,Pritisak,Zvuk,Svetlost,Pritisak,Vlažnost,Komentar
s,°C,kPa,dBA,lx,kPa,%RH,

101.28,12.3,99.5,76.4,660,100.44,32.8,
101.76,12.3,99.5,69.2,541,100.46,32.8,
102.24,12.3,99.5,74.8,537,100.45,32.8,
102.72,12.3,99.5,63.4,438,100.45,32.8,
103.2,12.3,99.5,40.0,410,100.45,32.8,
103.68,12.3,99.5,77.2,535,100.44,32.8,
104.16,12.3,99.5,65.5,600,100.45,32.8,
104.64,12.3,99.5,48.6,621,100.46,32.8,
105.12,12.3,99.5,71.2,601,100.45,32.8,
105.6,12.3,99.5,73.4,611,100.44,32.8,
106.08,12.3,99.5,73.0,647,100.44,32.8,
106.56,12.3,99.5,66.5,668,100.46,32.8,
107.04,12.3,99.5,71.9,676,100.48,32.8,
107.52,12.3,99.5,53.6,679,100.45,32.8,
108,12.3,99.5,40.0,681,100.47,32.8,
108.48,12.3,99.5,67.3,682,100.46,32.8,
108.96,12.3,99.5,40.6,684,100.46,32.8,
109.44,12.3,99.5,64.7,685,100.45,32.8,
109.92,12.3,99.5,71.9,685,100.45,32.8,
110.4,12.3,99.5,70.0,686,100.46,32.7,
110.88,12.3,99.5,47.8,686,100.45,32.7,
111.36,12.3,99.5,64.2,687,100.48,32.7,
111.84,12.3,99.5,69.7,688,100.46,32.7,
112.32,12.3,99.5,42.4,688,100.45,32.7,
112.8,12.3,99.5,62.8,689,100.46,32.7,
113.28,12.3,99.5,72.1,689,100.46,32.7,
113.76,12.3,99.5,57.6,690,100.45,32.6,
114.24,12.3,99.5,43.0,692,100.47,32.6,
114.72,12.3,99.5,40.0,693,100.46,32.6,
115.2,12.3,99.5,57.8,693,100.44,32.6,
115.68,12.3,99.5,73.4,694,100.44,32.6,
116.16,12.3,99.5,53.1,695,100.45,32.6,
116.64,12.3,99.5,73.9,695,100.44,32.5,
117.12,12.3,99.5,60.7,695,100.45,32.5,
117.6,12.3,99.5,68.5,696,100.45,32.5,
118.08,12.3,99.5,51.0,696,100.43,32.5,
118.56,12.3,99.5,40.0,697,100.45,32.5,
119.04,12.3,99.5,40.0,697,100.44,32.5,
119.52,12.3,99.5,52.9,697,100.47,32.5,
120,12.3,99.5,62.7,697,100.46,32.5,
120.48,12.3,99.5,40.0,697,100.48,32.5,
120.96,12.3,99.7,40.0,697,100.45,32.5,
121.44,12.3,99.9,65.0,697,100.46,32.5,
121.92,12.3,99.9,48.0,697,100.45,32.5,
122.4,12.3,99.9,55.8,698,100.43,32.5,
122.88,12.3,99.7,42.5,698,100.44,32.5,
123.36,12.3,99.7,46.0,698,100.45,32.5,
123.84,12.3,99.9,40.0,699,100.47,32.5,
124.32,12.3,100.1,60.6,700,100.44,32.5,
124.8,12.3,99.9,63.0,700,100.44,32.5,
125.28,12.3,99.9,65.5,700,100.44,32.5,
125.76,12.3,99.9,58.2,701,100.45,32.4,
126.24,12.3,99.9,70.2,701,100.44,32.5,
126.72,12.3,100.1,68.0,701,100.48,32.4,
127.2,12.3,100.1,58.9,700,100.46,32.4,
127.68,12.3,100.1,72.4,700,100.48,32.4,
128.16,12.3,100.1,48.5,701,100.47,32.4,
128.64,12.3,100.1,41.8,701,100.44,32.4,
129.12,12.3,100.1,40.0,702,100.47,32.4,
129.6,12.3,100.1,40.0,703,100.46,32.4,
130.08,12.3,100.1,51.3,703,100.43,32.4,
130.56,12.3,100.1,66.2,704,100.45,32.4,
131.04,12.3,100.1,40.8,704,100.43,32.4,
131.52,12.3,100.1,61.0,705,100.46,32.4,
132,12.3,100.1,60.7,705,100.45,32.4,
132.48,12.3,100.1,40.0,704,100.45,32.4,
132.96,12.3,100.1,52.1,705,100.45,32.4,
133.44,12.3,100.1,76.7,706,100.46,32.4,
133.92,12.3,100.1,76.5,706,100.40,32.4,
134.4,12.3,100.1,59.4,706,100.46,32.4,
134.88,12.3,100.1,74.0,705,100.47,32.4,
135.36,12.3,100.1,70.6,706,100.43,32.4,
135.84,12.3,100.1,53.5,706,100.44,32.4,
136.32,12.3,100.1,40.0,706,100.47,32.4,
136.8,12.3,100.1,68.4,707,100.47,32.4,
137.28,12.3,100.1,57.5,708,100.45,32.4,
137.76,12.3,100.1,55.9,708,100.45,32.4,
138.24,12.3,100.1,75.7,708,100.47,32.4,
138.72,12.3,100.1,69.1,708,100.46,32.4,
139.2,12.3,100.3,69.4,708,100.40,32.4,
139.68,12.3,100.3,60.8,708,100.47,32.4,
140.16,12.3,100.1,63.9,707,100.48,32.4,
140.64,12.3,100.3,66.9,707,100.46,32.4,
141.12,12.4,100.3,72.0,705,100.47,32.4,
141.6,12.4,100.3,74.7,704,100.44,32.4,
142.08,12.4,100.3,61.7,705,100.45,32.4,
142.56,12.4,100.3,73.2,705,100.46,32.4,
143.04,12.4,100.3,77.5,703,100.46,32.4,
143.52,12.4,100.3,51.6,705,100.48,32.4,
144,12.4,100.3,77.7,707,100.47,32.3,
144.48,12.4,100.1,59.2,708,100.44,32.3,
144.96,12.4,100.1,42.2,706,100.46,32.3,
145.44,12.4,100.1,40.0,707,100.44,32.3,
145.92,12.4,100.1,53.3,708,100.44,32.3,
146.4,12.4,100.1,40.0,709,100.42,32.3,
146.88,12.4,100.1,48.5,709,100.46,32.3,
147.36,12.4,100.1,55.0,709,100.46,32.3,
147.84,12.4,100.1,47.1,710,100.44,32.3,
148.32,12.5,100.1,40.0,713,100.44,32.3,
148.8,12.6,100.1,40.0,714,100.43,32.3,
149.28,12.6,100.1,40.0,716,100.42,32.3,
149.76,12.6,100.1,40.0,718,100.42,32.3,
150.24,12.7,100.1,40.0,719,100.44,32.3,
150.72,12.8,100.1,52.2,718,100.47,32.3,
151.2,12.8,100.1,40.0,716,100.46,32.2,
151.68,12.9,100.1,40.0,710,100.48,32.2,
152.16,13.0,100.1,69.4,707,100.46,32.2,
152.64,13.0,100.3,64.1,709,100.42,32.2,
153.12,13.1,100.3,45.9,714,100.45,32.2,
153.6,13.1,100.3,40.0,717,100.44,32.2,
154.08,13.2,100.3,40.0,717,100.42,32.2,
154.56,13.3,100.3,60.7,716,100.43,32.2,
155.04,13.3,100.3,55.1,716,100.44,32.2,
155.52,13.4,100.3,69.1,716,100.45,32.2,
156,13.4,100.3,67.3,716,100.46,32.2,
156.48,13.5,100.3,66.6,716,100.45,32.2,
156.96,13.5,100.3,57.1,716,100.45,32.2,
157.44,13.6,100.3,40.0,717,100.48,32.2,
157.92,13.7,100.3,52.6,717,100.46,32.2,
158.4,13.7,100.3,48.2,718,100.44,32.2,
158.88,13.8,100.3,40.0,718,100.42,32.2,
159.36,13.8,100.3,40.0,718,100.44,32.2,
159.84,13.9,100.3,71.6,718,100.45,32.2,
160.32,13.9,100.3,75.4,717,100.47,32.2,
160.8,14.0,100.3,70.9,717,100.44,32.2,
161.28,14.1,100.3,72.4,717,100.45,32.2,
161.76,14.1,100.3,70.8,716,100.47,32.2,
162.24,14.2,100.3,64.3,714,100.46,32.2,
162.72,14.2,100.3,60.5,714,100.45,32.2,
163.2,14.3,100.3,66.2,714,100.49,32.2,
163.68,14.3,100.3,45.6,714,100.44,32.2,
164.16,14.4,100.3,44.0,716,100.45,32.2,
164.64,14.5,100.3,71.3,712,100.47,32.2,
165.12,14.5,100.3,74.7,711,100.45,32.2,
165.6,14.6,100.3,45.8,711,100.45,32.2,
166.08,14.6,100.3,69.0,711,100.44,32.2,
